Infanterieweg, 05:45 
Hamelmannstraße, 05:45 
Schützenweg, 05:46 
Universität, 05:47 
Quellenweg, 05:48 
Uhlhornsweg, 05:48 
Paulstraße, 05:49 
Staakenweg, 05:49 
Friedhof Eversten, 05:51 
Tannenkampstraße, 05:52 
Feststraße, 05:53 
Marktplatz Eversten, 05:54 
Meinardusstraße, 05:55 
Bismarckstraße, 05:56 
Pulverturm-B, 05:57 
Julius-Mosen-Platz-A, 05:59 
Lappan-A, 06:01 
Hauptbahnhof-Süd-B, 06:02 
ZOB-C, 06:04 
Karlstraße, 06:05 
Pferdemarkt-A, 06:06 
Kriegerstraße, 06:07 
Bürgereschstraße, 06:08 
Bogenstraße, 06:08 
Lüttichstraße, 06:09 
Stiftsweg, 06:10 
Flötenstraße, 06:11 
Nadorst, 06:12 
Triftweg, 06:13 
Haseler Weg, 06:14 
Wilhelmsh. Heerstraße, 06:15 
Felix-Wankel-Straße, 06:16 
Muttenpottsweg, 06:16 
Im Eichengrund, 06:17 
Lagerstraße, 06:18 
Schleistraße, 06:19 
Am Strehl, 06:20 
Schafjückenweg, 06:21 
Waldfriedhof, 06:22 
Ostring, 06:23 
Patentbusch, 06:24
