service_id,route_id,trip_id
WD,324b,324bWD71
WD,324b,324bWD72
WD,324b,324bWD70
WD,301a,301aWD72
WD,301a,301aWD71
WD,301a,301aWD70
WD,324b,324bWD68
WD,324b,324bWD69
WD,324b,324bWD64
WD,324b,324bWD65
WD,324b,324bWD66
WD,324b,324bWD67
WD,324b,324bWD60
WD,324b,324bWD61
WD,324b,324bWD62
WD,324b,324bWD63
WD,301a,301aWD67
WD,301a,301aWD66
WD,301a,301aWD65
WE,307a,307aWE9
WD,301a,301aWD64
WE,307a,307aWE8
WE,307a,307aWE7
WE,307a,307aWE6
WD,301a,301aWD69
WE,307a,307aWE5
WD,301a,301aWD68
WE,322a,322aWE22
WE,322a,322aWE23
WE,322a,322aWE24
WE,322a,322aWE25
WD,301a,301aWD63
WD,301a,301aWD62
WD,301a,301aWD61
WE,322a,322aWE20
WD,301a,301aWD60
WE,322a,322aWE21
WE,322a,322aWE19
WE,322a,322aWE16
WE,322a,322aWE15
WE,322a,322aWE18
WE,322a,322aWE17
WD,307a,307aWD9
WD,301a,301aWD54
WD,307a,307aWD8
WD,301a,301aWD53
WD,301a,301aWD56
WD,301a,301aWD55
WD,307a,307aWD5
WD,301a,301aWD58
WD,307a,307aWD4
WD,301a,301aWD57
WD,307a,307aWD7
WD,307a,307aWD6
WD,301a,301aWD59
WE,322a,322aWE35
WE,322a,322aWE36
WE,322a,322aWE33
WE,322a,322aWE34
WD,301a,301aWD50
WE,322a,322aWE31
WE,322a,322aWE32
WD,301a,301aWD52
WD,301a,301aWD51
WE,322a,322aWE30
WE,322a,322aWE29
WE,322a,322aWE28
WE,322a,322aWE27
WE,322a,322aWE26
WE,307a,307aWE1
WE,307a,307aWE2
WE,307a,307aWE3
WE,307a,307aWE4
WD,307a,307aWD3
WD,307a,307aWD2
WD,307a,307aWD1
WE,322a,322aWE10
WE,322a,322aWE14
WE,322a,322aWE13
WE,303a,303aWE29
WE,322a,322aWE12
WE,322a,322aWE11
WE,303a,303aWE31
WE,303a,303aWE30
WE,303a,303aWE36
WE,303a,303aWE35
WE,303a,303aWE34
WE,303a,303aWE33
WE,303a,303aWE32
WE,303a,303aWE18
WE,303a,303aWE19
WE,303a,303aWE20
WE,303a,303aWE22
WE,303a,303aWE21
WE,303a,303aWE24
WE,303a,303aWE23
WE,303a,303aWE26
WE,303a,303aWE25
WE,303a,303aWE28
WE,303a,303aWE27
WE,303a,303aWE13
WE,303a,303aWE12
WE,303a,303aWE11
WE,303a,303aWE10
WE,303a,303aWE17
WE,303a,303aWE16
WE,303a,303aWE15
WE,303a,303aWE14
WE,307a,307aWE13
WE,307a,307aWE12
WE,307a,307aWE11
WE,307a,307aWE10
WE,307a,307aWE17
WE,307a,307aWE16
WE,307a,307aWE15
WE,307a,307aWE14
WE,307a,307aWE19
WE,307a,307aWE18
WE,307a,307aWE20
WE,307a,307aWE22
WE,307a,307aWE21
WE,307a,307aWE24
WE,307a,307aWE23
WE,307a,307aWE26
WE,307a,307aWE25
WE,307a,307aWE28
WE,307a,307aWE27
WE,307a,307aWE29
WE,307a,307aWE35
WD,324b,324bWD10
WE,307a,307aWE34
WD,324b,324bWD11
WE,307a,307aWE33
WD,324b,324bWD12
WE,307a,307aWE32
WD,324b,324bWD13
WE,307a,307aWE31
WD,324b,324bWD14
WE,307a,307aWE30
WD,324b,324bWD15
WD,324b,324bWD16
WE,307a,307aWE36
WD,324b,324bWD30
WD,301a,301aWD39
WD,324b,324bWD36
WD,324b,324bWD35
WD,324b,324bWD38
WD,316a,316aWD1
WD,324b,324bWD37
WD,324b,324bWD32
WD,316a,316aWD3
WD,324b,324bWD31
WD,316a,316aWD2
WD,324b,324bWD34
WD,316a,316aWD5
WD,324b,324bWD33
WD,316a,316aWD4
WD,301a,301aWD40
WD,301a,301aWD41
WD,324b,324bWD28
WD,324b,324bWD29
WD,301a,301aWD46
WD,301a,301aWD47
WD,301a,301aWD48
WD,301a,301aWD49
WD,301a,301aWD42
WD,301a,301aWD43
WD,301a,301aWD44
WD,301a,301aWD45
WE,307b,307bWE35
WE,307b,307bWE36
WD,301a,301aWD29
WD,301a,301aWD28
WD,324b,324bWD27
WE,307b,307bWE31
WE,316a,316aWE2
WD,324b,324bWD26
WE,307b,307bWE32
WE,316a,316aWE1
WD,324b,324bWD25
WE,307b,307bWE33
WD,324b,324bWD24
WE,307b,307bWE34
WD,324b,324bWD23
WE,316a,316aWE6
WD,324b,324bWD22
WE,316a,316aWE5
WD,324b,324bWD21
WE,316a,316aWE4
WD,324b,324bWD20
WE,307b,307bWE30
WE,316a,316aWE3
WD,316a,316aWD8
WD,301a,301aWD30
WD,316a,316aWD9
WD,316a,316aWD6
WD,316a,316aWD7
WD,324b,324bWD19
WD,324b,324bWD17
WD,324b,324bWD18
WD,301a,301aWD37
WD,301a,301aWD38
WD,301a,301aWD35
WD,301a,301aWD36
WD,301a,301aWD33
WD,301a,301aWD34
WD,301a,301aWD31
WD,301a,301aWD32
WE,307b,307bWE26
WD,301a,301aWD18
WE,307b,307bWE27
WD,301a,301aWD17
WE,307b,307bWE24
WE,307b,307bWE25
WD,301a,301aWD19
WD,324b,324bWD50
WD,324b,324bWD52
WE,307b,307bWE28
WD,324b,324bWD51
WE,307b,307bWE29
WD,324b,324bWD54
WD,324b,324bWD53
WD,324b,324bWD56
WD,324b,324bWD55
WD,324b,324bWD58
WE,307b,307bWE22
WD,324b,324bWD57
WE,307b,307bWE23
WE,307b,307bWE20
WD,324b,324bWD59
WE,307b,307bWE21
WE,316a,316aWE7
WE,316a,316aWE8
WE,316a,316aWE9
WD,301a,301aWD20
WD,301a,301aWD21
WD,301a,301aWD22
WD,301a,301aWD23
WD,301a,301aWD24
WD,301a,301aWD25
WD,301a,301aWD26
WD,301a,301aWD27
WE,307b,307bWE13
WE,307b,307bWE14
WE,307b,307bWE15
WE,307b,307bWE16
WD,324b,324bWD41
WE,307b,307bWE17
WD,324b,324bWD40
WE,307b,307bWE18
WE,307b,307bWE19
WD,324b,324bWD45
WD,324b,324bWD44
WD,324b,324bWD43
WD,324b,324bWD42
WD,324b,324bWD49
WD,324b,324bWD48
WE,307b,307bWE10
WD,324b,324bWD47
WE,307b,307bWE11
WD,324b,324bWD46
WE,307b,307bWE12
WD,324b,324bWD39
WD,301a,301aWD11
WD,301a,301aWD12
WD,301a,301aWD10
WD,301a,301aWD15
WD,301a,301aWD16
WD,301a,301aWD13
WD,301a,301aWD14
WD,307b,307bWD53
WD,307b,307bWD52
WD,307b,307bWD51
WD,307b,307bWD50
WD,307b,307bWD57
WD,307b,307bWD56
WD,307b,307bWD55
WD,307b,307bWD54
WD,307b,307bWD59
WD,307b,307bWD58
WD,307b,307bWD60
WD,307b,307bWD62
WD,307b,307bWD61
WD,307b,307bWD64
WD,307b,307bWD63
WD,307b,307bWD66
WD,307b,307bWD65
WD,307b,307bWD68
WD,307b,307bWD67
WD,307b,307bWD69
WD,307b,307bWD35
WD,307b,307bWD34
WD,307b,307bWD33
WD,307b,307bWD32
WD,307b,307bWD31
WD,307b,307bWD30
WD,307b,307bWD39
WD,307b,307bWD38
WD,307b,307bWD37
WD,307b,307bWD36
WD,307b,307bWD44
WD,307b,307bWD43
WD,307b,307bWD46
WD,307b,307bWD45
WD,307b,307bWD40
WD,307b,307bWD42
WD,307b,307bWD41
WD,307b,307bWD48
WD,307b,307bWD47
WD,307b,307bWD49
WD,307b,307bWD71
WD,307b,307bWD70
WD,307b,307bWD72
WD,322b,322bWD10
WD,322b,322bWD11
WD,322b,322bWD12
WD,322b,322bWD13
WD,322b,322bWD14
WD,322b,322bWD33
WD,322b,322bWD34
WD,322b,322bWD35
WD,322b,322bWD36
WD,322b,322bWD30
WD,322b,322bWD31
WD,322b,322bWD32
WD,322b,322bWD27
WD,322b,322bWD26
WD,322b,322bWD29
WD,322b,322bWD28
WE,309a,309aWE32
WE,309a,309aWE33
WE,309a,309aWE30
WE,309a,309aWE31
WE,309a,309aWE36
WE,309a,309aWE34
WE,309a,309aWE35
WD,322b,322bWD24
WD,322b,322bWD25
WD,322b,322bWD22
WD,322b,322bWD23
WD,322b,322bWD20
WD,322b,322bWD21
WD,322b,322bWD19
WD,322b,322bWD18
WD,322b,322bWD17
WD,322b,322bWD16
WD,322b,322bWD15
WD,322b,322bWD52
WD,322b,322bWD51
WD,322b,322bWD54
WD,322b,322bWD53
WD,322b,322bWD56
WE,309a,309aWE28
WD,322b,322bWD55
WE,309a,309aWE27
WD,322b,322bWD58
WD,322b,322bWD57
WE,309a,309aWE29
WE,309a,309aWE24
WE,309a,309aWE23
WE,309a,309aWE26
WE,309a,309aWE25
WE,309a,309aWE20
WD,322b,322bWD50
WE,309a,309aWE22
WE,309a,309aWE21
WD,322b,322bWD48
WD,322a,322aWD71
WD,322b,322bWD49
WD,322a,322aWD70
WD,322a,322aWD72
WD,322b,322bWD43
WD,322b,322bWD42
WD,322b,322bWD41
WD,322b,322bWD40
WD,322b,322bWD47
WE,309a,309aWE19
WD,322b,322bWD46
WE,309a,309aWE18
WD,322b,322bWD45
WE,309a,309aWE17
WD,322b,322bWD44
WE,309a,309aWE16
WE,309a,309aWE15
WE,309a,309aWE14
WE,309a,309aWE13
WE,309a,309aWE12
WE,309a,309aWE11
WE,309a,309aWE10
WD,322a,322aWD69
WD,322a,322aWD68
WD,322a,322aWD67
WD,322a,322aWD66
WD,322a,322aWD65
WD,322a,322aWD64
WD,322a,322aWD63
WD,322b,322bWD39
WD,322a,322aWD62
WD,322a,322aWD61
WD,322b,322bWD37
WD,322a,322aWD60
WD,322b,322bWD38
WD,322b,322bWD70
WD,322a,322aWD49
WD,322b,322bWD72
WD,322b,322bWD71
WD,322a,322aWD53
WD,322a,322aWD52
WD,322a,322aWD55
WD,322a,322aWD54
WD,322a,322aWD57
WD,322a,322aWD56
WD,322a,322aWD59
WD,322a,322aWD58
WD,322a,322aWD51
WD,322a,322aWD50
WD,322b,322bWD69
WD,322b,322bWD68
WD,322b,322bWD67
WD,322b,322bWD66
WD,322b,322bWD65
WD,322b,322bWD64
WD,322b,322bWD63
WD,322b,322bWD62
WD,322b,322bWD61
WD,322b,322bWD60
WD,322a,322aWD38
WD,322a,322aWD39
WD,322a,322aWD44
WD,322a,322aWD43
WD,322a,322aWD42
WD,322a,322aWD41
WD,322a,322aWD48
