stop_name,stop_id,stop_lat,stop_lon
Fuhrenweg,369886681,53.1350704,8.1458398
Waterender Weg,353044608,53.1547474,8.2447153
Mühlenhofsweg,659957027,53.1658137,8.2385449
Ewigkeit,348086700,53.115238,8.2128886
Westerstraße,677530887,53.1419016,8.1979981
Wahnbäkenweg,673234549,53.1939063,8.2434703
Heidkamp,264128488,53.1891912,8.1565111
Ekernstraße,671193399,53.1865208,8.2431326
Schwertlilienweg,354643355,53.0962443,8.2539436
Oldeweg,291045975,53.1069131,8.2755298
Dresdener Straße,504240361,53.1408871,8.1789213
Gerhard-Schnitger-Straße,271231899,53.0943931,8.2374241
Bäkeweg,359677881,53.1266924,8.1807382
Dr.-Th.-Goerlitz-Str.,298873218,53.1647072,8.1807636
Robert-von-Mayer-Straße,677042578,53.0929166,8.2159542
Am Sportplatz,268841989,53.1855961,8.1709663
Tjarks,353029397,53.0918138,8.1921639
Bürgereschstraße,365419446,53.1529626,8.2182112
Kennedystraße,206163315,53.140324,8.164813
Artillerieweg,365093255,53.152588,8.188312
Pestalozzistraße,256989786,53.1277516,8.1852621
Mohrstraße,257596925,53.1251942,8.2199715
Haarenfeld,206163309,53.1408479,8.1824099
Alte Dorfstraße,253748133,53.1659807,8.1571383
Pferdemarkt-A,206154095,53.146327,8.2143685
Brookweg,1449046377,53.1725152,8.1941352
Pferdemarkt-C,206154095,53.146327,8.2143685
Pferdemarkt-B,206154095,53.146327,8.2143685
Dr.-Schüßler-Str./Klinikum,271232011,53.1131271,8.211643
Siebenbürger Straße,263717782,53.1624652,8.1914854
Stiftsweg,349104114,53.1613423,8.2232542
Bremer Straße,348098250,53.1320677,8.2231299
Billunger Weg,247360764,53.1349856,8.1707609
Hans-Fleischer-Straße,348589118,53.0986919,8.2322777
Karl-Jaspers-Klinik,256100642,53.1680779,8.1416394
Käthe-Kollwitz-Straße,349104123,53.1701512,8.2196982
Zaunkönigstraße,354666921,53.1198586,8.2447111
Staatsarchiv,350235430,53.1338022,8.2194331
Schleistraße,294311559,53.1922483,8.2088077
Am Vogelbusch,343502553,53.0959393,8.1854345
Sandbergstraße,274761048,53.2016059,8.2440739
Victoriastraße,270824445,53.1385159,8.2406648
Nibelungenstraße,353044604,53.152772,8.2402838
Geestkamp,664017207,53.1723437,8.2494586
