Fahrenkamp, 05:18
Schmälkamp, 05:19
Eiffelstraße, 05:20
Fliegerhorst, 05:21
Brookweg, 05:22
Theodor-Pekol-Straße, 05:23
Feldstraße, 05:24
Im Dreieck, 05:25
Schulweg, 05:25
Frankenstraße, 05:26
Melkbrink, 05:27
von-Finckh-Straße, 05:28
Humboldtstraße, 05:29
Pferdemarkt-C, 05:30
Karlstraße, 05:31
ZOB-B, 05:33
Hauptbahnhof-Süd-A, 05:34
Lappan-B, 05:35
Staustraße-A, 05:36
Schloßplatz-B, 05:37
Nikolausstraße, 05:38
Nordstraße, 05:39
Wiesenstraße, 05:39
Bremer Straße, 05:40
Schützenhofstraße, 05:41
Bremer Heerstraße, 05:41
Bhf. Osternburg, 05:42
Wunderburgstraße, 05:42
Ferdinand-Koch-Straße, 05:43
Brachvogelweg, 05:44
Goldregenweg, 05:44
Lärchenring, 05:45
Klingenbergstraße, 05:46
Am Wüschemeer, 05:46
Carl-Friedrich-Gauß-Str., 05:47
Kreyen-Centrum, 05:48
Hans-Fleischer-Straße, 05:49
Dwaschweg, 05:50
Gerhard-Schnitger-Straße, 05:51
Heinrich-Früstück-Straße, 05:52
Am Schmeel, 05:53
Beentweg, 05:54
Bhf. Krusenbusch, 05:55
Tweelbäker Tredde, 05:55
Schafgarbenweg, 05:56
Schwertlilienweg, 05:57
Krusenbusch, 05:58
