Petersfehn, 06:06
Bussardweg, 06:07
Eichenweg, 06:07
Moorweg, 06:08
Bloherfelde, 06:09
Hörneweg, 06:10
Schramperweg, 06:10
Hartenscher Damm, 06:11
Bloherfelder Marktplatz, 06:11
Kennedystraße, 06:12
Theodor-Heuss-Straße, 06:13
Sportweg, 06:13
Postenweg, 06:14
Uhlhornsweg, 06:15
Dresdener Straße, 06:15
Haarenfeld, 06:16
Leipziger Straße, 06:17
Lasiusstraße, 06:18
Rummelweg, 06:19
Tappenbeckstraße, 06:20
Herbartstraße, 06:21
Theater, 06:23
Julius-Mosen-Platz-A, 06:24
Lappan-A, 06:26
Hauptbahnhof-Süd-B, 06:27
ZOB-C, 06:29
Straßburger Straße, 06:30
Weser-Ems-Halle, 06:31
bfe-Oldenburg/Unt. Berg, 06:32
Graf-Dietrich-Straße, 06:33
Schlieffenstraße, 06:34
Ammergaustraße, 06:35
Trommelweg, 06:36
Ostlandstraße, 06:37
Mühlenhofsweg, 06:38
Niendorfer Weg, 06:38
Ohmstede, 06:39
Geestkamp, 06:40
Dillweg, 06:41
Botterkamp, 06:42
Ekernstraße, 06:43
Mittelkamp, 06:44
Wahnbäkenweg, 06:45
Sandbergstraße, 06:46
Schulstraße, 06:47
Elbestraße, 06:48
Huntestraße, 06:48
Wahnbek, 06:49
Am Nordkreuz, 06:50
