Eibenweg, 05:00
Thomasburg, 05:00 
Margarete-Gramberg-Str., 05:01 
Bäkeweg, 05:02 
Pestalozzistraße, 05:02 
Ohlenbuschweg, 05:03 
Sodenstich, 05:05 
von-Thünen-Straße, 05:06 
Bodenburgallee, 05:07 
Feststraße, 05:08
Marktplatz Eversten, 05:09 
Meinardusstraße, 05:10 
Bismarckstraße, 05:11 
Pulverturm-B, 05:12 
Julius-Mosen-Platz-A, 05:14 
Lappan-A, 05:16 
Hauptbahnhof-Süd-B, 05:17 
ZOB-D, 05:19
Karlstraße, 05:20 
Pferdemarkt-A, 05:21 
Humboldtstraße, 05:22 
von-Finckh-Straße, 05:23 
Melkbrink, 05:24
Frankenstraße, 05:25
Schulweg, 05:26
Im Dreieck, 05:27
Feldstraße, 05:28 
Theodor-Pekol-Straße, 05:29 
Brookweg, 05:30
Mittelweg, 05:30
Rauhehorst, 05:31
Glatzer Straße, 05:32 
Dr.-Th.-Goerlitz-Str., 05:32
BBS Wechloy, 05:34
