trip_id,stop_id,arrival_time,departure_time,stop_sequence
301aWE1,654100645b,5:56:00,5:56:00,1
301aWE2,654100645b,6:26:00,6:26:00,1
301aWE3,654100645b,6:56:00,6:56:00,1
301aWE4,654100645b,7:26:00,7:26:00,1
301aWE5,654100645b,7:56:00,7:56:00,1
301aWE6,654100645b,8:26:00,8:26:00,1
301aWE7,654100645b,8:56:00,8:56:00,1
301aWE8,654100645b,9:26:00,9:26:00,1
301aWE9,654100645b,9:56:00,9:56:00,1
301aWE10,654100645b,10:26:00,10:26:00,1
301aWE11,654100645b,10:56:00,10:56:00,1
301aWE12,654100645b,11:26:00,11:26:00,1
301aWE13,654100645b,11:56:00,11:56:00,1
301aWE14,654100645b,12:26:00,12:26:00,1
301aWE15,654100645b,12:56:00,12:56:00,1
301aWE16,654100645b,13:26:00,13:26:00,1
301aWE17,654100645b,13:56:00,13:56:00,1
301aWE18,654100645b,14:26:00,14:26:00,1
301aWE19,654100645b,14:56:00,14:56:00,1
301aWE20,654100645b,15:26:00,15:26:00,1
301aWE21,654100645b,15:56:00,15:56:00,1
301aWE22,654100645b,16:26:00,16:26:00,1
301aWE23,654100645b,16:56:00,16:56:00,1
301aWE24,654100645b,17:26:00,17:26:00,1
301aWE25,654100645b,17:56:00,17:56:00,1
301aWE26,654100645b,18:26:00,18:26:00,1
301aWE27,654100645b,18:56:00,18:56:00,1
301aWE28,654100645b,19:26:00,19:26:00,1
301aWE29,654100645b,19:56:00,19:56:00,1
301aWE30,654100645b,20:26:00,20:26:00,1
301aWE31,654100645b,20:56:00,20:56:00,1
301aWE32,654100645b,21:26:00,21:26:00,1
301aWE33,654100645b,21:56:00,21:56:00,1
301aWE34,654100645b,22:26:00,22:26:00,1
301aWE35,654100645b,22:56:00,22:56:00,1
301aWE36,654100645b,23:26:00,23:26:00,1
301aWE1,784347967,5:57:00,5:57:00,2
301aWE2,784347967,6:27:00,6:27:00,2
301aWE3,784347967,6:57:00,6:57:00,2
301aWE4,784347967,7:27:00,7:27:00,2
301aWE5,784347967,7:57:00,7:57:00,2
301aWE6,784347967,8:27:00,8:27:00,2
301aWE7,784347967,8:57:00,8:57:00,2
301aWE8,784347967,9:27:00,9:27:00,2
301aWE9,784347967,9:57:00,9:57:00,2
301aWE10,784347967,10:27:00,10:27:00,2
301aWE11,784347967,10:57:00,10:57:00,2
301aWE12,784347967,11:27:00,11:27:00,2
301aWE13,784347967,11:57:00,11:57:00,2
301aWE14,784347967,12:27:00,12:27:00,2
301aWE15,784347967,12:57:00,12:57:00,2
301aWE16,784347967,13:27:00,13:27:00,2
301aWE17,784347967,13:57:00,13:57:00,2
301aWE18,784347967,14:27:00,14:27:00,2
301aWE19,784347967,14:57:00,14:57:00,2
301aWE20,784347967,15:27:00,15:27:00,2
301aWE21,784347967,15:57:00,15:57:00,2
301aWE22,784347967,16:27:00,16:27:00,2
301aWE23,784347967,16:57:00,16:57:00,2
301aWE24,784347967,17:27:00,17:27:00,2
301aWE25,784347967,17:57:00,17:57:00,2
301aWE26,784347967,18:27:00,18:27:00,2
301aWE27,784347967,18:57:00,18:57:00,2
