route_id,route_short_name,route_long_name,route_type
1,301,Eversten,3
2,301,Ofenerfeld,3
3,302,Borchersweg,3
4,302,Infanterieweg,3
5,303,Krusenbusch,3
6,303,Ofenerfeld,3
7,304,Bümmerstede,3
8,304,Feldahornweg,3
9,306,Carl-v.-Ossietzky-Str.,3
10,306,ZOB-A,3
11,307,Drielake,3
12,307,ZOB-A,3
13,308,BBS Wechloy,3
14,308,ZOB-B,3
15,309,Am Nordkreuz,3
16,309,Petersfehn,3
17,310,Wehnen,3
18,310,ZOB-A,3
19,312,Stralsunder Straße,3
20,312,ZOB-A,3
21,314,Am Vogelbusch,3
22,314,Patentbusch,3
23,315,Hatterwüsting,3
24,315,ZOB-B,3
25,316,Neuenwege,3
26,316,Nordstraße,3
27,317,IKEA,3
28,317,ZOB-A,3
29,322,BBS Wechloy,3
30,322,Eibenweg,3
31,324,Infanterieweg,3
32,324,Patentbusch,3
